Altium Designer Pick and Place Locations
Pick Place for power.csv

========================================================================================================================
File Design Information:

Date:       22-07-24
Time:       10:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"R17","10K","TopLayer","R0603_L","52.7050","72.7710","90"
"R16","40K","TopLayer","R0603_L","53.3400","70.7390","0"
"R4","10K/0.1%","TopLayer","R0603_L","57.7850","86.6140","270"
"R3","10K/0.1%","TopLayer","R0603_L","57.0600","84.4550","180"
"Q3","S8050","TopLayer","SOT23-3M","50.2310","72.3060","180"
"Q1","AO3401","TopLayer","SOT23-3N","53.2130","62.1030","90"
"JP7","HDR-1X2","TopLayer","PH2.0-W-2P","55.4990","65.6430","90"
"MR4","MARK1.6","TopLayer","Mark_1","60.5790","88.3920","0"
"MR3","MARK1.6","TopLayer","Mark_1","42.5450","93.3450","0"
"MR2","MARK1.6","TopLayer","Mark_1","55.4990","33.4010","0"
"MR1","MARK1.6","TopLayer","Mark_1","42.7990","33.6550","0"
"RF2","SMD1812-300C-16V","TopLayer","F1812","54.4830","80.3910","0"
"R18","330K","TopLayer","R0603_L","59.6900","76.7080","180"
"R15","330K","TopLayer","R0603_L","57.1500","72.3900","270"
"Q5","AO3400","TopLayer","SOT23-3N","59.6900","70.1040","0"
"Q4","AO3401","TopLayer","SOT23-3N","59.6900","74.0410","180"
"Q2","AO3401","TopLayer","SOT23-3N","56.0070","75.9460","0"
"JP5","HDR-1X2","TopLayer","HDR2.54-LI-2P","60.3250","84.2010","270"
"V1","AMS1117-3V3","TopLayer","SOT223_L","47.6250","84.2010","0"
"U3","SLM6305","TopLayer","DFN10-L3.0-W3.0-P0.5_EP","42.0370","44.8310","90"
"U1","MT3608L","TopLayer","SOT23-6M","38.6080","66.5480","270"
"U2","TPS5430DDAR","TopLayer","SOIC-8_EP","51.5520","43.4340","0"
"U4","INA226AIDGSR","TopLayer","MSOP10_N","48.7680","64.5160","180"
"RF1","BSMD1206-100-24V","TopLayer","F1206","37.7190","85.0900","90"
"R12","471K","TopLayer","PK0406","46.8630","72.3900","270"
"R13","1K","TopLayer","R0603_L","40.3490","40.3860","0"
"R11","4.7K","TopLayer","R0603_L","43.1800","77.9780","90"
"R10","4.7K","TopLayer","R0603_L","44.7040","78.0150","90"
"R9","0.002R","TopLayer","R2512_M","49.2759","57.9119","180"
"R8","0.1R","TopLayer","R1206_L","39.4970","55.4990","0"
"R1","110K","TopLayer","R0603_L","37.5920","72.0090","90"
"R5","10k","TopLayer","R0603_L","46.3550","43.0530","180"
"R2","15K","TopLayer","R0603_L","38.1000","69.7230","180"
"R14","1K","TopLayer","R0603_L","43.5610","38.2270","90"
"R7","0.05R","TopLayer","R1206_L","39.4970","57.9120","0"
"R6","3.24k","TopLayer","R0603_L","47.1170","40.8940","90"
"LED1","ºìÉ«","TopLayer","LED0603_Y","42.5450","41.1480","90"
"LED2","ÂÌÉ«","TopLayer","LED0603_Y","43.8150","41.1480","90"
"L3","4.7uH","TopLayer","CD53","39.7510","50.9270","90"
"L2","15uH","TopLayer","CD75","57.6580","50.6730","90"
"L1","4.7uH","TopLayer","CD53","43.9420","65.5320","270"
"JP4","HDR-1X4","TopLayer","HDR2.54-LI-4P","49.1490","93.2180","0"
"JP6","HDR-1X3","TopLayer","HDR2.54-LI-3P","49.9110","76.4540","180"
"JP3","HDR-1X3","TopLayer","HDR2.54-LI-3P","51.5620","90.4240","180"
"JP2","HDR-1X4","TopLayer","PH2.0-W-4P","49.4190","38.4810","0"
"JP1","HDR-1X2","TopLayer","PH2.0-W-2P","55.4990","58.9120","90"
"E1","10uF/10V","TopLayer","C_3216","48.2600","78.9940","180"
"E2","22uF/10V","TopLayer","C_3216","43.0530","85.3440","270"
"D2","UDD32C03L01","TopLayer","SOD-323","39.7510","85.4710","90"
"D1","B340A-13-F","TopLayer","SMA","43.9420","72.3900","90"
"D4","B340A-13-F","TopLayer","SMA","49.9110","48.1330","0"
"D3","SMF5.0A","TopLayer","SOD-123","46.1010","52.7050","90"
"C2","100uf/6.3V","TopLayer","C1206_L","41.0210","71.6280","90"
"C15","100uf/6.3V","TopLayer","C1206_L","41.5290","60.1980","0"
"C14","22uf/25v","TopLayer","C1206_L","60.5790","42.5420","90"
"C9","100uf/6.3v","TopLayer","C1206_L","49.7840","52.3240","90"
"C10","100uf/6.3v","TopLayer","C1206_L","52.1970","52.3240","90"
"C20","100nf","TopLayer","C0603_L","39.4970","44.1960","90"
"C21","100nf","TopLayer","C0603_L","45.4660","61.3410","0"
"C19","22uf/25v","TopLayer","C0805_L","37.7189","45.7201","270"
"C18","22uf/25v","TopLayer","C0805_L","37.7190","40.9600","90"
"C17","100nf","TopLayer","C0603_L","40.3860","41.9100","180"
"C16","100nf","TopLayer","C0603_L","42.7990","57.5310","90"
"C7","4.7uf","TopLayer","C0603_M","41.2750","85.9660","270"
"C11","100nf","TopLayer","C0603_L","47.8790","53.0860","90"
"C13","22uf/25v","TopLayer","C1206_L","58.1660","42.5420","90"
"C3","100uf/6.3V","TopLayer","C1206_L","39.7510","75.3110","0"
"C6","22uf/25V","TopLayer","C1206_L","37.8460","61.7220","90"
"C4","100uf/6.3V","TopLayer","C1206_L","53.2130","66.6750","90"
"C12","100nf","TopLayer","C0603_L","56.1340","43.5610","90"
"C8","10nf","TopLayer","C0603_L","46.3550","45.3390","180"
"C1","100nf","TopLayer","C0603_L","39.1160","72.0090","90"
"C5","100nf","TopLayer","C0603_L","39.8780","62.7380","90"
